0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000
300	2.16889e-40	1.53364e-40	1.25221e-40	1.08445e-40	9.69957e-41	8.85446e-41	8.19763e-41	7.66818e-41	7.22963e-41	6.85863e-41	6.53945e-41	6.26105e-41	6.01542e-41	5.7966e-41	5.60005e-41	5.42223e-41	5.26033e-41	5.11212e-41	4.97578e-41	4.84979e-41
350	3.45522e-34	2.44321e-34	1.99487e-34	1.72761e-34	1.54522e-34	1.41059e-34	1.30595e-34	1.22161e-34	1.15174e-34	1.09264e-34	1.04179e-34	9.97436e-35	9.58306e-35	9.23447e-35	8.92134e-35	8.63805e-35	8.38014e-35	8.14403e-35	7.92682e-35	7.72611e-35
400	1.5723e-29	1.11179e-29	9.07769e-30	7.86151e-30	7.03155e-30	6.41889e-30	5.94274e-30	5.55893e-30	5.24101e-30	4.97205e-30	4.74067e-30	4.53884e-30	4.36078e-30	4.20215e-30	4.05967e-30	3.93075e-30	3.81339e-30	3.70595e-30	3.60711e-30	3.51577e-30
450	6.6704e-26	4.71668e-26	3.85116e-26	3.3352e-26	2.98309e-26	2.72318e-26	2.52117e-26	2.35834e-26	2.22347e-26	2.10936e-26	2.0112e-26	1.92558e-26	1.85004e-26	1.78274e-26	1.72229e-26	1.6676e-26	1.61781e-26	1.57223e-26	1.53029e-26	1.49155e-26
500	5.36751e-23	3.7954e-23	3.09894e-23	2.68376e-23	2.40042e-23	2.19128e-23	2.02873e-23	1.8977e-23	1.78917e-23	1.69736e-23	1.61837e-23	1.54947e-23	1.48868e-23	1.43453e-23	1.38589e-23	1.34188e-23	1.30181e-23	1.26513e-23	1.23139e-23	1.20021e-23
550	1.28772e-20	9.10552e-21	7.43463e-21	6.43858e-21	5.75884e-21	5.25708e-21	4.86711e-21	4.55276e-21	4.29238e-21	4.07211e-21	3.88261e-21	3.71731e-21	3.57148e-21	3.44156e-21	3.32487e-21	3.21929e-21	3.12317e-21	3.03517e-21	2.95422e-21	2.87942e-21
600	1.24546e-18	8.8067e-19	7.19064e-19	6.22728e-19	5.56985e-19	5.08455e-19	4.70738e-19	4.40335e-19	4.15152e-19	3.93848e-19	3.75519e-19	3.59532e-19	3.45427e-19	3.32862e-19	3.21575e-19	3.11364e-19	3.02067e-19	2.93557e-19	2.85727e-19	2.78492e-19
650	5.9852e-17	4.23217e-17	3.45555e-17	2.9926e-17	2.67666e-17	2.44345e-17	2.26219e-17	2.11609e-17	1.99507e-17	1.89269e-17	1.8046e-17	1.72778e-17	1.65999e-17	1.59961e-17	1.54537e-17	1.4963e-17	1.45162e-17	1.41072e-17	1.3731e-17	1.33833e-17
700	1.65943e-15	1.17339e-15	9.58073e-16	8.29715e-16	7.4212e-16	6.7746e-16	6.27206e-16	5.86697e-16	5.53144e-16	5.24758e-16	5.00337e-16	4.79036e-16	4.60243e-16	4.43501e-16	4.28463e-16	4.14858e-16	4.02471e-16	3.91132e-16	3.80699e-16	3.7106e-16
750	2.96202e-14	2.09447e-14	1.71012e-14	1.48101e-14	1.32466e-14	1.20924e-14	1.11954e-14	1.04723e-14	9.87341e-15	9.36674e-15	8.93083e-15	8.55062e-15	8.21517e-15	7.91634e-15	7.64791e-15	7.40505e-15	7.18396e-15	6.98155e-15	6.79534e-15	6.62328e-15
800	3.69577e-13	2.6133e-13	2.13375e-13	1.84788e-13	1.6528e-13	1.50879e-13	1.39687e-13	1.30665e-13	1.23192e-13	1.1687e-13	1.11432e-13	1.06688e-13	1.02502e-13	9.87735e-14	9.54243e-14	9.23942e-14	8.96355e-14	8.711e-14	8.47867e-14	8.26398e-14
